translation,ground_truth,generated,is_flawed
" Further the sons of Sunda and Upasunda by name Maricha and Subahu are causing obstacles to your sacrifice. They resemble the god of death, Yama. I shall never part with my son.  ", अथ कालोपमौ युध्दे सुतौ सुन्दोपसुन्दयो:।।यज्ञविघ्नकरौ तौ ते नैव दास्यामि पुत्रकम्। ,"<verse>
सुन्दोपसुन्दयोः सूनू तौ मारीचसुबाहुकौ ।
यज्ञघ्नौ यमसङ्काशौ पुत्रं नैव त्यजाम्यहम् ॥
</verse>",False
" Althoug what you have said appears to be salutary, it is actually unwholesome. It appears to be beneficial but is really detrimental.  ", भवान्मे प्रियकामार्थं वचनं यदिहोक्तवान्।अकार्यं कार्यसङ्काशमपथ्यं पथ्यसम्मतम्।। ,"<verse>
यत्त्वयोक्तं हितं भाति तदपथ्यं हि केवलम्।
कल्याणमिव यद् भाति तदनर्थाय कल्पते॥
</verse>",False
 It was a veritable heaven with the plain land flooded with the backwaters of the sea and gentle breeze blowing. , तं समं सर्वतस्निग्धं मृदुसंस्पर्शमारुतम्।अनूपं सिन्धुराजस्य ददर्श त्रिदिवोपमम्।। ,"<verse>
समुद्राम्बुप्लुता तत्र समभूमिः सुशोभना ।
मन्दमारुतसंयुक्ता स्वर्गलोक इवाबभौ ॥
</verse>",False
" Therafter, the son of Sumitra Lakshmana himself fetched darbha grass and quickly prepared an auspicious and comfortable bed for Rama.  ", सौमित्रिस्तु ततः पश्चादकरोत्स्वास्तरं शुभम्।स्वयमानीय बर्हींषि क्षिप्रं राघवकारणात्।। ,"<verse>
ततः सौमित्रिराहृत्य दर्भान् स्वयं मुदान्वितः ।
रामाय सुखदां शय्यां क्षिप्रं चक्रे शुभां तदा ॥
</verse>",False
" Rama, approached his father with folded palms and bowed low near him, pronounced his own name and touched his fathers feet with reverence. ", स प्राञ्जलिरभिप्रेत्य प्रणतः पितुरन्तिके।।नाम स्वं श्रावयन्रामो ववन्दे चरणौ पितुः। ,"<verse>
स रामः पितुरभ्याशं गत्वा प्रह्वः कृताञ्जलिः ।
नाम संश्राव्य रामेति ववन्दे चरणौ पितुः ॥
</verse>",False
" When Parasurama departed, Rama, son of Dasaratha with a serene mind gave the bow along with the arrow to Varuna of immeasurable strength.    ", गते रामे प्रशान्तात्मा रामो दाशरथिर्धनु:।वरुणायाप्रमेयाय ददौ हस्ते ससायकम्।। ,"<verse>
गते रामे प्रशान्तात्मा रामो दाशरथिर्धनुः ।
वरुणायाप्रमेयाय ददौ हस्ते सशायकम् ॥
</verse>",False
 That assembly was illumined by the presence of Rama like the Moon dazzling the clear autumnal sky bespangled with sparkling planets and stars. ," ﻿तेन विभ्राजता तत्र सा सभाऽभिव्यरोचत।।

विमलग्रहनक्षत्रा शारदी द्यौरिवेन्दुना।
  ","<verse>
व्यरोचत सभा सा तु रामेणाक्लिष्टकर्मणा ।
ताराग्रहसमाकीर्णं शशिनेव शरन्नभः ॥
</verse>",False
" ""O Rama mother and sons having arrived at this conclusion in the tapovana  ascended to heaven with their desire fulfilled. This is what we have heard."" ", एवं तौ निश्चयं कृत्वा मातापुत्रौ तपोवने।जग्मतुस्त्रिदिवं राम कृतार्थाविति नश्श्रुतम्।। ,"<verse>
सा च माता सुताश्चैव निश्चित्यैव तपोवने ।
कृतकामा दिवं याता इति शुश्रुम राघव ॥
</verse>",False
" Swept away by the force of his thighs, the trees bent forward following him for a while just as relatives accompany their kith and kin on long travel. ", ऊरुवेगोद्धता वृक्षा मुहूर्तं कपिमन्वयुः।प्रस्थितं दीर्घमध्वानं स्वबन्धुमिव बान्धवाः।। ,"<verse>
ऊरुवेगोद्धता वृक्षाः पादपाः पुष्पशालिनः।
अनुजग्मुर्हनूमन्तं बान्धवा इव दूरगम्॥
</verse>",False
" ""Just as river Ganga is not agitated by the rainbearing clouds, this Sita is not perturbed as she is aware of the prowess of Rama and might of Lakshmana. ", रामस्य व्यवसायज्ञा लक्ष्मणस्य च धीमतः।नात्यर्थं क्षुभ्यते देवी गङ्गेव जलदागमे।। ,"<verse>
रामस्य विक्रमं ज्ञात्वा लक्ष्मणस्य बलं तथा ।
यथा मेघैर्न गङ्गेयं तथा सीता न कम्पते ॥
</verse>",False
 Missing , सौवर्णस्त्वं मृगो भूत्वा चित्रो रजतबिन्दुभिः । आश्रमे तस्य रामस्य सीतायाः प्रमुखे चर  ।। ,"<verse>
वियोगे स्मर्यते लोके यन्न पश्यति मानवः ।
अन्तरे तस्य संवासो हृदये चानुभूयते ॥
</verse>",False
" My alternate strategy has failed. I have already made a mistake by announcing my plan. My advisors are holding different views. I am powerless. How can a weakling, an orphan like me live in Kishkinda? ", भिन्नमन्त्रोऽपराद्धश्च हीनशक्तिः कथं ह्यहम्।किष्किन्धां प्राप्य जीवेयमनाथ इव दुर्बलः।। ,"<verse>
मन्त्रभेदश्च संजातो विसंवादश्च मन्त्रिणाम् ।
अनाथः कृपणश्चाहं किष्किन्धां कथमावसेत् ॥
</verse>",False
 Nishakara went on his last journey and attained heaven. Since then many sad thoughts have crisscrossed my mind and I am consumed with those thoughts. , महाप्रस्थानमासाद्य स्वर्गते तु निशाकरे।मां निर्दहति सन्तापो वितर्कैर्बहुभिर्वृतम्।। ,"<verse>
निशाकरे दिवं याते ततः प्रभृति मे हृदि।
तपन्ति विविधाः शोकाश्चिन्तया दह्यते मनः॥
</verse>",False
" O Lakshmana, delight of the Raghu dynasty, be very alert and restrained and protect Sita. Whatever duty we have to perform depends on her protection. ", इह त्वं भव सन्नद्दो यन्त्रितो रक्ष मैथिलीम्।।अस्यामायत्तमस्माकं यत्कृत्यं रघुनन्दन। ,"<verse>
अप्रमत्तो यतात्मा त्वं रक्ष लक्ष्मण मैथिलीम्।
अस्यां हि सर्वकार्याणि नः स्थितानि रघूद्वह॥
</verse>",False
" ""Just as food mixed with venom cannot be digested by the great fire fire of hunger, it is not possible to keep Sita even by gods and demons. Sita is like food mixed with poison. Ravana cannot digest her with all his power.   ", नेयं जरयितुं शक्या सासुरैरमरैरपि।विषसंसृष्टमत्यर्थं भुक्तमन्नमिवौजसा ।। ,"<verse>
विषेण सहितं चान्नं दीप्तेनापि न जीर्यते ।
सीता सासुरदेवैश्च रावणेन न जीर्यते ॥
</verse>",False
" The  sylvan deities shivered, seeing Sitas grief and cried aloud. ", सुप्रवेपितगात्राश्च बभूवुर्वनदेवताः।।विक्रोशन्तीं दृढं सीतां दृष्ट्वा दुःखं तथा गताम्। ,"<verse>
दृष्ट्वा सीतां तु शोकार्तां चकम्पुर्वनदेवताः ।
चुक्रुशुश्च महानादं विलपन्त्यो मुहुर्मुहुः ॥
</verse>",False
" Discharging completely the three debts, to gods, to ancestors and to sages, subduing your enemies and gratifying your friends, you alone have the right to dictate me.  ", ऋणानि त्रीण्यपाकुर्वन्दुर्हृदस्साधु निर्दहन्।सुहृदस्तर्पयन्कामैस्त्वमेवात्रानुशाधि माम्।। ,"<verse>
ऋणं विमुच्य देवानां पितॄणां च महर्षिणाम् ।
शत्रून् जित्वा सुहृत्तोषाच्छास्तुं मां त्वमिहार्हसि ॥
</verse>",False
 Sugriva is awaiting the arrival of the powerful and strong vanaras without whose help he cannot accomplish Ramas task.Therefore he has not yet started the search.   , तांश्च प्रतीक्षमाणोऽयं विक्रान्तात्सुमहाबलान्।राघवस्यार्थसिध्यर्थं न निर्याति हरीश्वरः।। ,"<verse>
सुग्रीवो बलसंयुक्तान् प्रतीक्षते कपीन्वने ।
न सिद्ध्येद्रामकार्यं हि नारब्धं च गवेषणम् ॥
</verse>",False
" Thus talking with one another, the two nobleminded tigers best among men advanced towards river Kalindi Yamuna with Sita walking in front. ", इति तौ पुरुषव्याघ्रौ मन्त्रयित्वा मनस्विनौ।सीतामेवाग्रतः कृत्वा कालिन्दीं जग्मतुर्नदीम्।। ,"<verse>
एवं तौ संप्रभाषन्तौ महासत्त्वौ नरर्षभौ ।
कालिन्दीमभियातौ तौ सीतां कृत्वाग्रतो वने ॥
</verse>",False
 Vanaras who had conquered fear crushed Rakshasas into lumps of flesh indeed the Rakshasas threw out blood from their mouths. , राक्षसामथिताःकेचिद्वानरैर्जितकाशिभिः ।ववमूरुधिरंकेचिन्मुखैरुधिरभोजनाः ।। ,"<verse>
वानरा निर्भयाश्चक्रू राक्षसान् मांसपिण्डितान् ।
मुखाद् रुधिरमुद्गीर्णं राक्षसैस्तैर्महाहवे ॥
</verse>",False
" This kingdom, rooted in the righteousness of that noble king, is now whirling like a boat in a whirlpool without a helmsman. ", तस्यैषा धर्मराजस्य धर्ममूला महात्मनः।परिभ्रमति राज्य श्रीर्नौरिवाकर्णिका जले।। ,"<verse>
धर्ममूलमिदं राज्यं तस्य साधोर्महीपतेः ।
नौरिवाकर्णधाराद्य भ्राम्यत्यावर्तमध्यगा ॥
</verse>",False
" Enemy killed, Rama also accompanied by Sugriva, Lakshmana, and army experienced joy, like Indra who performed a hundred sacrifices after killing Vrta. ", रामोऽपिसहसैन्येनससुग्रीवस्सलक्ष्मणः ।हर्षंलेभेरिपुंहत्वायथावृत्रंशतक्रतु: ।। ,"<verse>
हतशत्रुः स रामोऽपि ससुग्रीवः सलक्ष्मणः ।
मुमोद सहितः सैन्यैर्वृत्रं हत्वा शतक्रतुः ॥
</verse>",False
" The bodies of the demons torn into pieces by the very sharp iron arrows and by the arrows called vikarni, they cried and shouted aloud in pitiable voices. ", ततो नालीकनाराचैस्तीक्ष्णाग्रैश्च विकर्णिभिः।भीममार्तस्वरं चक्रुर्भिद्यमाना निशाचराः।। ,"<verse>
तीक्ष्णैर्नाराचजालैश्च विकर्णीभिश्च राक्षसाः ।
छिन्नगात्राः सुदीनं च चुक्रुशुश्च महास्वनाः ॥
</verse>",False
" Having heard this, righteous Rama of the Kakutstha dynasty said to all the ascetics engaged in penance ", एतच्छ्रुत्वा तु काकुत्स्थस्तापसानां तपस्विनाम्।इदं प्रोवाच धर्मात्मा सर्वानेव तपस्विनः।। ,"<verse>
एतच्छ्रुत्वा तु धर्मात्मा रामो वचनमब्रवीत्।
काकुत्स्थस्तापसांश्चैव सर्वान् तान् हि तपोरतान्॥
</verse>",False
" Having heard the wailing of the female bird, the sage Valmiki moved to pity at this irreligious act uttered the following words. ", तत: करुणवेदित्वादधर्मोऽयमिति द्विज: ।निशाम्य रुदतीं क्रौञ्चीमिदं वचनमब्रवीत् ।।    ,"<verse>
ततः करुणवेदित्वादधर्मोऽयमिति द्विजः ।
निशम्य रुदतीं क्रौञ्चीमिदं वचनमब्रवीत् ॥
</verse>",False
" ""The intense austerities performed by the sages in different regions determined firmly are tormenting the Rakshasas."" ", तेषुतेषुचदेशेषुपुण्येष्वेवदृढव्रतैः ।।चर्यमाणंतपस्तीव्रंसन्तापयतिराक्षसान् । ,"<verse>
देशे देशे मुनीनां च दृढनिश्चयचेतसाम् ।
तपसा तेन तीव्रेण राक्षसाः परिपीडिताः ॥
</verse>",False
" O Rama there are six expedients peace,war,marching,neutrality, alliance, making peace with one and waging war with another, for attaining your goal in the world. Only the unlucky can help the unfortunate. ", राम षड्युक्तयो लोके याभिस्सर्वं विमृश्यते।परिमृष्टो दशान्तेन दशाभागेन सेव्यते।। ,"<verse>
संधिर्विग्रहयानानि चासनं द्वैधसंश्रयौ ।
लोके राम हितार्थाय दीनो दीनोपकारकः ॥
</verse>",False
" O son of the Raghus if you set out for the impenetrable forest now itself, I shall also go, walking ahead of you and crushing the thorns and spiky kusa grass rendering the path  comfortable for you to walk. ", यदि त्वं प्रस्थितो दुर्गं वनमद्यैव राघव।अग्रतस्ते गमिष्यामि मृद्नन्ती कुशकण्टकान्।। ,"<verse>
यदि त्वं प्रस्थितो दुर्गं वनमद्यैव राघव ।
अग्रतस्ते गमिष्यामि मृद्नन्ती कुशकण्टकान् ॥
</verse>",False
" On expansion, wise Hanumans face was bright, glowing like a burning oven and  shining like smokeless fire. ", अशोभत मुखं तस्य जृम्भमाणस्य धीमतः।अम्बरीषमिवाऽदीप्तं विधूम इव पावकः।। ,"<verse>
मुखं तस्य बभौ दीप्तं जृम्भमाणस्य धीमतः ।
दीप्तभ्रष्ट्रसमानाभं विधूम इव पावकः ॥
</verse>",False
" ""Or else, the god of death would have come in the form of Rama for your destruction, having right knowledge and taking an inconceivable recourse. ", अथवारामरूपेणकृतान्तस्स्वयमागतः ।मायांतवविनाशायविधायाप्रतितर्किताम् ।। ,"<verse>
अथवा ज्ञानसम्पन्नः कृतान्तोऽयं समागतः।
राघवेणाप्रमेयेण रूपेणान्तरितः प्रभो॥
</verse>",False
" On hearing the words of Rama in deep distress, the monkey replied to him with folded hands, his throat choked with tears ", एवमुक्तस्तु सुग्रीवो रामेणार्तेन वानरः।अब्रवीत्प्राञ्जलिर्वाक्यं सबाष्पं बाष्पगद्गदः।। ,"<verse>
श्रुत्वा रामस्य तद्वाक्यं भृशदुःखितचेतसः ।
कृताञ्जलिपुटो भूत्वा बाष्पकण्ठोऽब्रवीत्कपिः ॥
</verse>",False
" The glorious king Dasaratha also remembered his sons, Bharata and Satrughna, who  were like the great Indra and Varuna, now away from home.  ", राजाऽपि तौ महातेजा स्सस्मार प्रोषितौ सुतौ।उभौ भरतशत्रुघ्नौ महेन्द्रवरुणोपमौ।। ,"<verse>
श्रीमान् दशरथो राजा सस्मार विप्रवासिनौ।
शत्रुघ्नभरतौ चापि महेन्द्रवरुणोपमौ॥
</verse>",False
" Tara along with other female monkeys followed their lord, crying pathetically. ", ताराप्रभृतयस्सर्वा वानर्यो हरियूथपाः।अनुजग्मुर्हि भर्तारं क्रोशन्त्यः करुणस्वन।। ,"<verse>
रुदती करुणं दीना बाष्पव्याकुललोचना ।
तारा च कपिकान्ताभिः सार्धं भर्तारमन्वगात् ॥
</verse>",False
" On hearing his words, he Viswamitra related all about their stay at Siddhashrama and the slaying of rakshasas. ", तस्य तद्वचनं श्रुत्वा यथावृत्तं न्यवेदयत्।सिद्धाश्रमनिवासं च राक्षसानां वधं तथा।। ,"<verse>
श्रुत्वा तस्य वचो धीमान् विश्वामित्रः शशंस ह ।
सिद्धाश्रमे स्थितिं चैव राक्षसानां वधं तथा ॥
</verse>",False
" Twenty thousand women adorned with gold, gems and corals sent by Kubera came. ", सुवर्णमणिमुक्तेन प्रवालेन च शोभिताः।आगुर्विंशतिसाहास्राः कुबेरप्रहिताः स्त्रियः।। ,"<verse>
विंशतिश्च सहस्राणि नार्यः कुबेरचोदिताः ।
स्वर्णरत्नप्रवालैश्च भूषिताः समुपागताः ॥
</verse>",False
 Why are the two tigers among men whose power is like that of wind and fire and who are unassailable even to suras are neglecting me? , शक्तौ तौ पुरुषव्याघ्रौ वाय्वग्निसमतेजसौ ।।सुराणामपि दुर्धर्षौ किमर्थं मामुपेक्षतः। ,"<verse>
अनिलानलवीर्यौ तौ सुराणामपि दुर्जयौ ।
कथं तौ नरशार्दूलौ मामुपेक्षत राघवौ ॥
</verse>",False
" Lakshmana paid homage to him who was in the firesanctuary, and said O friend, come and see the palace of Rama who is the accomplisher of all difficult tasks. ", तं विप्रमग्न्यगारस्थं वन्दित्वा लक्ष्मणोऽब्रवीत्।सखेऽभ्यागच्छ पश्य त्वं वेश्म दुष्करकारिणः।। ,"<verse>
प्रणम्याग्निगृहे वीरं लक्ष्मणः समुवाच तम् ।
सखे पश्येह श्रीरामधाम दुष्करकारिणः ॥
</verse>",False
" Fallen into the deathtrap, the great army of the demon, felt very happy on hearing Khara roaring. ", सा तस्य गर्जितं श्रुत्वा राक्षसस्य महाचमूः।।प्रहर्षमतुलं लेभे मृत्युपाशावपाशिता। ,"<verse>
कालपाशपरीता सा महासेना तु रक्षसाम् ।
खरस्य नदतो नादं श्रुत्वा हर्षमुपागमत् ॥
</verse>",False
" Under a rude, crooked king whose senses are not under his control the demons will surely perish. ", अवश्यं विनशिष्यन्ति सर्वे रावण राक्षसाः।येषां त्वं कर्कशो राजा दुर्बुद्धिरजितेन्द्रियः।। ,"<verse>
दुर्विनीते नृपे क्रूरे ह्यजितेन्द्रियमानसे ।
विनाशं दनुजा नूनं यास्यन्त्येव न संशयः ॥
</verse>",False
" ""O destroyer of foes, you are capable of rescuing me singlehanded. Your success will  raise your strength and bring glory. ", काममस्य त्वमेवैकः कार्यस्य परिसाधने।पर्याप्तः परवीरघ्न यशस्यस्ते बलोदयः।। ,"<verse>
काममस्य त्वमेवैकः कार्यस्य परिसाधने ।
पर्याप्तः परवीरघ्न यशस्यस्ते बलोदयः ॥
</verse>",False
" The king who keeps both his eyes shut but keeps the eye of justice open, one who is free from anger and remains ever alert, is worshipped by the people.  ", नयनाभ्यां प्रसुप्तोऽपि जागर्ति नयचक्षुषा।त्यक्तक्रोधप्रमादश्च स राजा पूज्यते जनैः।। ,"<verse>
पिहितेक्षणयुग्मोऽपि न्यायनेत्रेण पश्यति ।
अक्रोधः सततं जाग्रन्नृपः पूज्यो जनैर्भवेत् ॥
</verse>",False
" Rama, intolerant like a snake, targeting Ravanas post, released a sharp bright glowing arrow. ", रावणध्वजमुद्दिस्यमुमोचनिशितंशरम् ।महासर्पमिवासह्यंज्वलन्तंस्वेनतेजसा ।। ,"<verse>
भुजङ्ग इव सोऽमर्षी रावणस्थानमुद्दिशन् ।
ससर्ज सुमहत्तीक्ष्णं रामो दीप्तं ज्वलच्छरम् ॥
</verse>",False
" He saw tamala flowers in bloom, pepper shrubs in clusters and hoards of pearls kept for drying on the shores. ", पुष्पाणि च तमालस्य गुल्मानि मरिचस्य च।मुक्तानां च समूहानि शुष्यमाणानि तीरतः।। ,"<verse>
प्रफुल्लानि तमालानि मरिचानां च गुल्मकान् ।
तीरे मुक्ताफलौघांश्च शोषितान् स व्यलोकयत् ॥
</verse>",False
" The great Sugriva, thinks Hanuman, who had done his duty is likely to acquire his kingdom, because great Rama who would help in the work of Sugriva has also come. ", भव्यो राज्यागमस्तस्य सुग्रीवस्य महात्मनः। यदयं कृत्यवान्प्राप्तः कृत्यं चैतदुपागत।। ,"<verse>
कृतकृत्यो हि सुग्रीवः प्राप्स्यते राज्यमुत्तमम् ।
सुग्रीवकार्यसिद्धौ हि सम्प्राप्तो राघवो महान् ॥
</verse>",False
" ""I will remain an ascetic and do penance under the tree practising selfcontrol and not go back without seeing the blackeyed Sita. ", तापसो वा भविष्यामि नियतो वृक्षमूलिकः।।नेतः प्रतिगमिष्यामि तामदृष्ट्वासितेक्षणाम्। ,"<verse>
वृक्षमूले वसिष्यामि तपस्वी संयतेन्द्रियः ।
सीतां न प्रतियास्यामि अदृष्ट्वा कृष्णलोचनाम् ॥
</verse>",False
" By the missile discharged by Raghava those reptiles and snakes turned into golden feathered eagles and by the shine of the feathers, the reptiles flew. ", तेराघवधनुर्मुक्तारुक्मपुङ्खाःशिखिप्रभाः ।सुपर्णाःकाञ्चनाभूत्वाविचेरुःसर्पशत्रवः ।। ,"<verse>
राघवस्यास्त्रमोक्षेण बभूवुः स्वर्णपक्षिणः ।
तेषां तु पक्षदीप्त्या वै व्युत्पेतुरुरगास्तदा ॥
</verse>",False
" Unable to see her beautiful, face with auspicious eyes like fragrant lotuses, I feel so depressed. ", तच्चार्वञ्चितपद्माक्षं सुगन्धि शुभमव्रणम्। अपश्यतो मुखं तस्यास्सीदतीव मनो मम।। ,"<verse>
सुगन्धिपद्मनेत्राया मुखं कान्तं शुभेक्षणम् ।
अदृष्ट्वा हि परं दीनो विषीदामि भृशं भृशम् ॥
</verse>",False
 A wise man who apprehends danger or one who desires his own good should plan his defence even before the onset of danger. , अनागतविधानं तु कर्तव्यं शुभमिच्छता।आपदं शङ्कमानेन पुरुषेण विपश्चिता।। ,"<verse>
अनागतभयं दृष्ट्वा स्वहितं वा विचिन्तयन् ।
विधानं रक्षणस्यासौ कुर्यात्प्रागेव बुद्धिमान् ॥
</verse>",False
