translation,ground_truth,generated,is_flawed
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", दर्शनादेव रामस्य हतं मामवधारय।आत्मानं च हतं विद्धि हृत्वा सीतां सबान्धवम्।। ,"<verse>
मरणं रामसंदर्शात् मम चेद् भविता ध्रुवम् ।
सीताहरणहेतोस्त्वं सवान्धव विनश्यसि ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", स पुत्रवधसन्तप्तश्शूरःक्रोधवशंगतः ।।समीक्ष्यरावणोबुद्ध्यावैदेह्यारोचयद्वधम् । ,"<verse>
निहतं पुत्रमालोक्य कोपेन महता वृतः ।
वैदेह्याश्च विनाशार्थं मतिं चक्रे स राक्षसः ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", मारुतस्यात्मजश्श्रीमान्हनुमान्नाम वीर्यवान् ।वज्रसंहननोपेतो वैनतेयसमो जवे।। ,"<verse>
मारुताज्जनितः श्रीमान् हनुमान् वज्रविग्रहः ।
गरुडतुल्यवेगश्च महाबलपराक्रमः ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", इत्युक्त्वाभ्यपतद्गृध्रं सन्धाय धनुषि क्षुरम्।क्रुद्धो रामस्समुद्रान्तां कम्पयन्निव मेदिनीम्।। ,"<verse>
इत्युक्त्वा राघवश्चापं संधाय च शितं शरम् ।
गृध्रमुद्दिश्य तस्थौ च चकम्पे सार्णवा मही ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", काचिद्वंशं परिष्वज्य सुप्ता कमललोचना।रहः प्रियतमं गृह्य सकामेव च कामिनी।। ,"<verse>
अन्या कमलपत्राक्षी वीणामालिङ्ग्य संसुप्ता ।
कान्ता प्रियमिवालिङ्ग्य सुप्त्वा मदनमोहिता ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", अथ कालोपमौ युध्दे सुतौ सुन्दोपसुन्दयो:।।यज्ञविघ्नकरौ तौ ते नैव दास्यामि पुत्रकम्। ,"<verse>
मरीचश्च सुबाहुश्च यज्ञविघ्नकरावुभौ ।
सुन्दोपसुन्दपुत्रौ तौ त्यक्ष्यामि न सुतं मम ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", भवान्मे प्रियकामार्थं वचनं यदिहोक्तवान्।अकार्यं कार्यसङ्काशमपथ्यं पथ्यसम्मतम्।। ,"<verse>
यत्त्वयोक्तं हितं भाति तदपथ्यं हि वास्तवम् ।
पथ्यवद् दृश्यते यच्च तदप्यहितमेव हि ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", तं समं सर्वतस्निग्धं मृदुसंस्पर्शमारुतम्।अनूपं सिन्धुराजस्य ददर्श त्रिदिवोपमम्।। ,"<verse>
वेलावारिप्लुता भूमिः मन्दमारुतसेविता ।
समा देशे तता भाति स्वर्गलोक इवापरः ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", सौमित्रिस्तु ततः पश्चादकरोत्स्वास्तरं शुभम्।स्वयमानीय बर्हींषि क्षिप्रं राघवकारणात्।। ,"<verse>
ततः सौमित्रिणा तूर्णं दर्भानाहृत्य यत्नतः ।
रामाय रचिता शुभ्रा सुखशय्या मनोरमा ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", स प्राञ्जलिरभिप्रेत्य प्रणतः पितुरन्तिके।।नाम स्वं श्रावयन्रामो ववन्दे चरणौ पितुः। ,"<verse>
कृताञ्जलिस्ततो रामः पितरं समुपस्थितः ।
स्वं नाम समुदाहृत्य पितुः पादाववन्दत ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", गते रामे प्रशान्तात्मा रामो दाशरथिर्धनु:।वरुणायाप्रमेयाय ददौ हस्ते ससायकम्।। ,"<verse>
गते रामे प्रहृष्टात्मा दाशरथिर्महाबलः ।
वरुणाय ददौ चापं शरं चामिततेजसे ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  "," ﻿तेन विभ्राजता तत्र सा सभाऽभिव्यरोचत।।

विमलग्रहनक्षत्रा शारदी द्यौरिवेन्दुना।
  ","<verse>
बभासे सा सभा तत्र रामेण शशिनो यथा ।
नक्षत्राकुलितं व्योम शरद्विमलतारकम् ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", एवं तौ निश्चयं कृत्वा मातापुत्रौ तपोवने।जग्मतुस्त्रिदिवं राम कृतार्थाविति नश्श्रुतम्।। ,"<verse>
निश्चयं तं समालम्ब्य तपःपूते तपोवने ।
दिवं गता सपुत्रा सा रामेत्येवं मया श्रुतम् ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", ऊरुवेगोद्धता वृक्षा मुहूर्तं कपिमन्वयुः।प्रस्थितं दीर्घमध्वानं स्वबन्धुमिव बान्धवाः।। ,"<verse>
ऊरुवेगोद्धता वृक्षाः मुहूर्तं कपिमन्वयुः ।
प्रस्थितं दीर्घमध्वानं बन्धुमिव सुहृज्जनाः ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", रामस्य व्यवसायज्ञा लक्ष्मणस्य च धीमतः।नात्यर्थं क्षुभ्यते देवी गङ्गेव जलदागमे।। ,"<verse>
यथा न कम्पते गङ्गा वर्षुकाम्बुधरैरपि ।
तथा न व्यथते सीता रामलक्ष्मणतेजसा ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", सौवर्णस्त्वं मृगो भूत्वा चित्रो रजतबिन्दुभिः । आश्रमे तस्य रामस्य सीतायाः प्रमुखे चर  ।। ,"<verse>
असतो मा सद्गमय तमसो मा ज्योतिर्गमय ।
मृत्योर्मा अमृतं गमय इति शान्तिः सदा अस्तु नः ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", भिन्नमन्त्रोऽपराद्धश्च हीनशक्तिः कथं ह्यहम्।किष्किन्धां प्राप्य जीवेयमनाथ इव दुर्बलः।। ,"<verse>
मन्त्रो मे विफलो जातः प्रख्याप्यैव प्रमादकृत् ।
भिन्ना मन्त्रिगिरश्चैव कथं हीनो वसेय्यहम् ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", महाप्रस्थानमासाद्य स्वर्गते तु निशाकरे।मां निर्दहति सन्तापो वितर्कैर्बहुभिर्वृतम्।। ,"<verse>
गतश्चान्तिमयात्रां स निशाकरो दिवं गतः ।
ततः प्रभृति शोकार्त्ता चिन्ता मां दहतीह हि ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", इह त्वं भव सन्नद्दो यन्त्रितो रक्ष मैथिलीम्।।अस्यामायत्तमस्माकं यत्कृत्यं रघुनन्दन। ,"<verse>
सौमित्रे रक्ष वैदेहीं ह्यप्रमत्तः समाहितः ।
तदधीनं हि नः सर्वं कार्यं राघव वर्तते ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", नेयं जरयितुं शक्या सासुरैरमरैरपि।विषसंसृष्टमत्यर्थं भुक्तमन्नमिवौजसा ।। ,"<verse>
विषमिश्रं यथा चान्नं न जीर्यति महाग्निना ।
न तथा रावणः सीतां शक्नोति जरितुं बलात् ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", सुप्रवेपितगात्राश्च बभूवुर्वनदेवताः।।विक्रोशन्तीं दृढं सीतां दृष्ट्वा दुःखं तथा गताम्। ,"<verse>
दृष्ट्वा सीताव्यथां तत्र वनदेव्यः प्रकम्पिताः ।
चुक्रुशुश्च भृशं भीताः करुणं रुरुदुस्तदा ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", ऋणानि त्रीण्यपाकुर्वन्दुर्हृदस्साधु निर्दहन्।सुहृदस्तर्पयन्कामैस्त्वमेवात्रानुशाधि माम्।। ,"<verse>
ऋणत्रयं प्रमुच्यैव जित्वा शत्रून् प्रहर्षय ।
तोषयित्वा सुहृद्वर्गान् त्वमेव शास्तुमर्हसि ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", तांश्च प्रतीक्षमाणोऽयं विक्रान्तात्सुमहाबलान्।राघवस्यार्थसिध्यर्थं न निर्याति हरीश्वरः।। ,"<verse>
न विना बलवद्वीरैः वानरैः कार्यसाधनम् ।
स प्रतीक्षति तान् सर्वान् मार्गं न प्रारभत् ततः ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", इति तौ पुरुषव्याघ्रौ मन्त्रयित्वा मनस्विनौ।सीतामेवाग्रतः कृत्वा कालिन्दीं जग्मतुर्नदीम्।। ,"<verse>
इत्येवं मन्त्रयन्तौ तौ नरव्याघ्रौ मुदायुतौ ।
कालिन्दीमभिजग्मुस्ते सीतां कृत्वाग्रतो नदीम् ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", राक्षसामथिताःकेचिद्वानरैर्जितकाशिभिः ।ववमूरुधिरंकेचिन्मुखैरुधिरभोजनाः ।। ,"<verse>
प्लवङ्गा वीतभीत्या वै पिंषन्ति स्म निशाचरान् ।
मांसपिण्डत्वमानिन्युर्वक्त्राद्रक्तं वमन्ति च ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", तस्यैषा धर्मराजस्य धर्ममूला महात्मनः।परिभ्रमति राज्य श्रीर्नौरिवाकर्णिका जले।। ,"<verse>
तद्राज्यं धर्ममूलं हि तस्य राज्ञो महात्मनः ।
कर्णधारविहीनं तन्नौरिवावर्तमध्यगा ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", रामोऽपिसहसैन्येनससुग्रीवस्सलक्ष्मणः ।हर्षंलेभेरिपुंहत्वायथावृत्रंशतक्रतु: ।। ,"<verse>
मुमोद सहसैन्येन ससुग्रीवः सलक्ष्मणः ।
हत्वा शत्रुं रणे रामो वृत्रं हत्वा यथा हरिः ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", ततो नालीकनाराचैस्तीक्ष्णाग्रैश्च विकर्णिभिः।भीममार्तस्वरं चक्रुर्भिद्यमाना निशाचराः।। ,"<verse>
तीक्ष्णलोहशराघातैर्विदर्णिभिश्च दारिताः ।
चुक्रुशुर्दानवाः सर्वे करुणं भृशदुःखिताः ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", एतच्छ्रुत्वा तु काकुत्स्थस्तापसानां तपस्विनाम्।इदं प्रोवाच धर्मात्मा सर्वानेव तपस्विनः।। ,"<verse>
श्रुत्वैतद् राघवः श्रीमान् तापसान् धर्मवत्सलः ।
अब्रवीत् तानृषीन् सर्वान् तपोनिरतचेतसः ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", तत: करुणवेदित्वादधर्मोऽयमिति द्विज: ।निशाम्य रुदतीं क्रौञ्चीमिदं वचनमब्रवीत् ।।    ,"<verse>
तथा करुणितं दृष्ट्वा करुणात् संप्रचोदितः ।
क्रौञ्च्याश्च विलापं श्रुत्वा वाक्यमुवाच स मुनिः ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", तेषुतेषुचदेशेषुपुण्येष्वेवदृढव्रतैः ।।चर्यमाणंतपस्तीव्रंसन्तापयतिराक्षसान् । ,"<verse>
देशे देशे मुनीन्द्राणां तपांस्युग्राणि यानि च ।
दृढनिश्चयसंयुक्तैर्बाधन्ते राक्षसान् भुवि ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", राम षड्युक्तयो लोके याभिस्सर्वं विमृश्यते।परिमृष्टो दशान्तेन दशाभागेन सेव्यते।। ,"<verse>
सन्धिर्विग्रहयानं च द्वैधमासनमाश्रयः ।
कार्यसिद्धौ सहायास्ते मन्दानां मन्दभागिनः ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", यदि त्वं प्रस्थितो दुर्गं वनमद्यैव राघव।अग्रतस्ते गमिष्यामि मृद्नन्ती कुशकण्टकान्।। ,"<verse>
गच्छन्तं त्वां वनं घोरं राघव प्रस्थितं ह्ययम् ।
अग्रतस्ते गमिष्यामि मृद्नन्ती कुशकण्टकान् ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", अशोभत मुखं तस्य जृम्भमाणस्य धीमतः।अम्बरीषमिवाऽदीप्तं विधूम इव पावकः।। ,"<verse>
तस्य संहृष्यमाणस्य | वक्त्रं बभौ महात्मनः ।
दीप्ततापिच्छसङ्काशं | विधूम इव पावकः ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", अथवारामरूपेणकृतान्तस्स्वयमागतः ।मायांतवविनाशायविधायाप्रतितर्किताम् ।। ,"<verse>
अथवा मरणं तस्य
रूपेण रामोऽभ्यागतः ।
अचिन्त्यो बलवान्देवः
सर्वलोकेश्वरेश्वरः ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", एवमुक्तस्तु सुग्रीवो रामेणार्तेन वानरः।अब्रवीत्प्राञ्जलिर्वाक्यं सबाष्पं बाष्पगद्गदः।। ,"<verse>
दीनस्य वचनं श्रुत्वा कपिः प्राञ्जलिरब्रवीत् ।
बाष्पपूर्णेन कण्ठेन सगद्गदमुवाच ह ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", राजाऽपि तौ महातेजा स्सस्मार प्रोषितौ सुतौ।उभौ भरतशत्रुघ्नौ महेन्द्रवरुणोपमौ।। ,"<verse>
दशरथोऽपि राजेन्द्रः सस्मार भरतादिकान् ।
विप्रोषितौ सुतावेतौ शक्रवरुणसन्निभौ ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", ताराप्रभृतयस्सर्वा वानर्यो हरियूथपाः।अनुजग्मुर्हि भर्तारं क्रोशन्त्यः करुणस्वन।। ,"<verse>
ततः तारा कपिस्त्रीभी रुदती नाथ मन्वगात् ।
करुणं क्रोशती दीना कपिराजस्य भामिनी ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", तस्य तद्वचनं श्रुत्वा यथावृत्तं न्यवेदयत्।सिद्धाश्रमनिवासं च राक्षसानां वधं तथा।। ,"<verse>
तस्य तद्वचनं श्रुत्वा विश्वामित्रो महामुनिः ।
सिद्धाश्रमनिवासं च राक्षसानां वधं तथा ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", सुवर्णमणिमुक्तेन प्रवालेन च शोभिताः।आगुर्विंशतिसाहास्राः कुबेरप्रहिताः स्त्रियः।। ,"<verse>
कुबेरप्रेषिता आयान् सुवर्णमणिभूषिताः ।
विंशतिश्च सहस्राणि प्रवालमुकुटस्त्रियः ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", शक्तौ तौ पुरुषव्याघ्रौ वाय्वग्निसमतेजसौ ।।सुराणामपि दुर्धर्षौ किमर्थं मामुपेक्षतः। ,"<verse>
वायुतेजःसमोत्साहौ नरव्याघ्रौ सुरैरपि ।
अजेयौ देवसङ्घैश्च किमर्थं मामुपेक्षतः ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", तं विप्रमग्न्यगारस्थं वन्दित्वा लक्ष्मणोऽब्रवीत्।सखेऽभ्यागच्छ पश्य त्वं वेश्म दुष्करकारिणः।। ,"<verse>
प्रणम्य पावकस्थाय सौमित्रिरवदत्प्रियम् ।
सखे पश्य गृहं रम्यं रामस्य दुष्करत्विषः ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", सा तस्य गर्जितं श्रुत्वा राक्षसस्य महाचमूः।।प्रहर्षमतुलं लेभे मृत्युपाशावपाशिता। ,"<verse>
कालपाशगता सेना महती दैत्यरक्षसाम् ।
नर्दतस्तु खरस्यैव प्रहर्षमतुलं गता ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", अवश्यं विनशिष्यन्ति सर्वे रावण राक्षसाः।येषां त्वं कर्कशो राजा दुर्बुद्धिरजितेन्द्रियः।। ,"<verse>
अजितेन्द्रियशत्रौ च राज्ञि क्रूरे विनश्यति ।
असुराणां ध्रुवं नाशः भविष्यति न संशयः ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", काममस्य त्वमेवैकः कार्यस्य परिसाधने।पर्याप्तः परवीरघ्न यशस्यस्ते बलोदयः।। ,"<verse>
एकाकी मां परित्रातुं शक्तस्त्वमरिमन्युहन् ।
जयस्ते वर्धयेद्वीर्यं यशश्चापि प्रदास्यति ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", नयनाभ्यां प्रसुप्तोऽपि जागर्ति नयचक्षुषा।त्यक्तक्रोधप्रमादश्च स राजा पूज्यते जनैः।। ,"<verse>
मीलिताक्षोऽपि यः पश्येद् धर्मचक्षुर्विलोकयेत् ।
क्रोधहीनः सदोद्युक्तः स राजा पूज्यते जनैः ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", रावणध्वजमुद्दिस्यमुमोचनिशितंशरम् ।महासर्पमिवासह्यंज्वलन्तंस्वेनतेजसा ।। ,"<verse>
ससर्प इव रामोऽसौ ज्वलन्तं तीक्ष्णबाणं च ।
मुमोच रावणं प्रति ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", पुष्पाणि च तमालस्य गुल्मानि मरिचस्य च।मुक्तानां च समूहानि शुष्यमाणानि तीरतः।। ,"<verse>
फुल्लैस्तमालपुष्पैश्च मरीचवल्लरीस्तथा ।
तीरेषु शुष्यमाणांश्च मुक्तापुञ्जान् ददर्श सः ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", भव्यो राज्यागमस्तस्य सुग्रीवस्य महात्मनः। यदयं कृत्यवान्प्राप्तः कृत्यं चैतदुपागत।। ,"<verse>
कृतकृत्यः सुग्रीवोऽपि राज्यं प्राप्स्यति निश्चितम् ।
सहायो हि महावीरो रामोऽत्र समुपस्थितः ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", तापसो वा भविष्यामि नियतो वृक्षमूलिकः।।नेतः प्रतिगमिष्यामि तामदृष्ट्वासितेक्षणाम्। ,"<verse>
तपस्वी वृक्षमूलेऽहं तपः कृत्वा जितेन्द्रियः।
न यास्यामि विना सीतां दृष्ट्वा तामसितेक्षणाम्॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", तेराघवधनुर्मुक्तारुक्मपुङ्खाःशिखिप्रभाः ।सुपर्णाःकाञ्चनाभूत्वाविचेरुःसर्पशत्रवः ।। ,"<verse>
राघवास्त्रप्रमुक्तेन बभूवुः स्वर्णपक्षिणः ।
पक्षदीप्त्या सुपर्णास्ते उत्पेतूर्गगने तदा ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", तच्चार्वञ्चितपद्माक्षं सुगन्धि शुभमव्रणम्। अपश्यतो मुखं तस्यास्सीदतीव मनो मम।। ,"<verse>
अदृष्ट्वा चारुवक्त्रं ते पद्मसौम्यविलोचनम् ।
विषादे मज्जतीदं मे हृदयं शोकमोहितम् ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", अनागतविधानं तु कर्तव्यं शुभमिच्छता।आपदं शङ्कमानेन पुरुषेण विपश्चिता।। ,"<verse>
अनागतं भयं दृष्ट्वा स्वहितं चेच्छता नृणाम् ।
प्रतिकारो विधातव्यः पूर्वमेव विपत्तितः ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", अहंतेहृदयंरामजिह्वादेवीसरस्वती ।।देवारोमाणिगात्रेषुब्रह्मणानिर्मिताःप्रभो । ,"<verse>
हृदयं ते सुराः सर्वे जिह्वा देवी सरस्वती ।
रोमाणि तव गात्रे हि सृष्टा ये ब्रह्मणा सुराः ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  "," कुलीन:सत्त्वसम्पन्नस्तेजस्वी चरितव्रतः।

राज्यहेतोः कथं पापमाचरेत्त्वद्विधो जनः।।
  ","<verse>
कुलीनस्त्वं महातेजा बलवान् दृढविक्रमः ।
राज्यहेतोः कथं नाम पापं कर्तुमिहेच्छसि ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", अर्थानर्थनिमित्तंहियदुक्तंसचिवैस्तव ।तत्रदोषंप्रपश्यामिक्रियानह्युपपद्यते ।। ,"<verse>
गुणादोषममित्रस्य
बुद्ध्वा शरणमुपागतम्।
ग्राह्यः कश्चिद्यथाशक्ति
तस्मिन् दोषो न विद्यते॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", एवमुक्त्वा वचस्सौम्यं प्रत्युत्थाय कृताञ्जलि:।उभौ मुनिवरौ राजा जनको वाक्यमब्रवीत्।। ,"<verse>
इत्युक्त्वा मधुरं वाक्यं जनको जनदीपकः ।
कृताञ्जलिपुटो भूत्वा तावूचे मुनिपुङ्गवौ ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", साङ्काश्यां ते समागत्य ददृशुश्च कुशध्वजम्।न्यवेदयन्यथावृत्तं जनकस्य च चिन्तितम्।। ,"<verse>
गत्वा सङ्काशिकां दूता दृष्ट्वा तं च कुशध्वजम् ।
तस्मै वृत्तं निवेद्याथ जनकस्य मतं जगुः ॥
</verse>",False
